     Requests Blocked  NoReq   AVE         Delay counts
                              DELAY     2     3    4    5    6    7+ 
-------------------------------------------------------------------
M0-25   23%     12%     65%    2.5   1140  1175    0    0    0    0
M0-50   40%     20%     40%    2.5   2004  1992    0    0    0    0
M0-75   46%     38%     16%    2.5   2350  2291    0    0    0    0

-------------------------------------------------------------------
M0-25   23%     13%     64%    2.65   964  1115  180    0    0    0
M1-25   21%     21%     58%    3.28   678   819  265  170   74  890

M0-50   37%     26%     37%    2.74  1440  1812  466    0    0    0
M1-50   25%     50%     24%    4.22   403   798  482  296  199  334

M0-75   42%     44%     14%    2.74  1595  2064  504    0    0    0
M1-75   24%     68%      8%    4.66   336   630  438  299  216  432
